z,sigmoid,tanh
-3.47,0.0301779814858759,-0.998065334083864
-3.46,0.0304720332646442,-0.998026289808958
-3.45,0.030768859357148,-0.997986458359829
-3.44,0.0310684841596674,-0.997945823898577
-3.43,0.0313709322481939,-0.997904370269966
-3.42,0.0316762283790564,-0.997862080995116
-3.41,0.0319843974895333,-0.997818939265078
-3.4,0.0322954646984505,-0.997774927934279
-3.39,0.0326094553067656,-0.997730029513844
-3.38,0.0329263947981363,-0.997684226164781
-3.37,0.0332463088394741,-0.997637499691042
-3.36,0.0335692232814825,-0.997589831532442
-3.35,0.0338951641591782,-0.997541202757445
-3.34,0.0342241576923959,-0.997491594055806
-3.33,0.0345562302862765,-0.997440985731074
-3.32,0.0348914085317368,-0.997389357692946
-3.31,0.0352297192059215,-0.997336689449479
-3.3,0.0355711892726362,-0.997282960099142
-3.29,0.0359158458827617,-0.997228148322724
-3.28,0.0362637163746483,-0.997172232375079
-3.27,0.0366148282744899,-0.997115190076715
-3.26,0.036969209296677,-0.997056998805221
-3.25,0.0373268873441295,-0.996997635486526
-3.24,0.0376878905086059,-0.996937076585993
-3.23,0.0380522470709921,-0.996875298099342
-3.22,0.0384199855015654,-0.996812275543394
-3.21,0.038791134460236,-0.996747983946644
-3.2,0.0391657227967644,-0.996682397839651
-3.19,0.039543779550953,-0.996615491245241
-3.18,0.0399253339528138,-0.996547237668526
-3.17,0.0403104154227092,-0.996477610086734
-3.16,0.0406990535714665,-0.996406580938843
-3.15,0.041091278200465,-0.996334122115014
-3.14,0.0414871193016959,-0.996260204945832
-3.13,0.0418866070577927,-0.996184800191332
-3.12,0.0422897718420338,-0.996107878029829
-3.11,0.0426966442183139,-0.996029408046523
-3.1,0.0431072549410861,-0.9959493592219
-3.09,0.0435216349552722,-0.995867699919909
-3.08,0.0439398153961413,-0.995784397875914
-3.07,0.0443618275891564,-0.995699420184422
-3.06,0.0447877030497867,-0.995612733286583
-3.05,0.0452174734832875,-0.995524302957447
-3.04,0.0456511707844437,-0.995434094292994
-3.03,0.0460888270372796,-0.995342071696906
-3.02,0.0465304745147315,-0.99524819886711
-3.01,0.0469761456782835,-0.995152438782052
-3,0.0474258731775668,-0.99505475368673
-2.99,0.0478796898499189,-0.994955105078461
-2.98,0.0483376287199052,-0.994853453692379
-2.97,0.0487997229988,-0.99474975948668
-2.96,0.0492660060840267,-0.994643981627574
-2.95,0.0497365115585567,-0.994536078473978
-2.94,0.0502112731902665,-0.994426007561915
-2.93,0.0506903249312507,-0.994313725588634
-2.92,0.0511737009170917,-0.994199188396432
-2.91,0.0516614354660848,-0.994082350956186
-2.9,0.0521535630784177,-0.993963167350583
-2.89,0.0526501184353029,-0.993841590757045
-2.88,0.0531511363980637,-0.993717573430341
-2.87,0.0536566520071719,-0.993591066684886
-2.86,0.0541667004812361,-0.993462020876723
-2.85,0.0546813172159408,-0.993330385385173
-2.84,0.0552005377829343,-0.993196108594166
-2.83,0.0557243979286654,-0.993059137873221
-2.82,0.0562529335731674,-0.992919419558107
-2.81,0.0567861808087885,-0.992776898931137
-2.8,0.0573241758988688,-0.992631520201128
-2.79,0.057866955276361,-0.992483226482998
-2.78,0.0584145555423963,-0.992331959777005
-2.77,0.0589670134647918,-0.992177660947616
-2.76,0.0595243659765015,-0.992020269702012
-2.75,0.0600866501740076,-0.991859724568208
-2.74,0.0606539033156522,-0.991695962872799
-2.73,0.061226162819908,-0.991528920718313
-2.72,0.0618034662635886,-0.991358532960176
-2.71,0.0623858513799944,-0.991184733183274
-2.7,0.0629733560569965,-0.991007453678118
-2.69,0.0635660183350553,-0.990826625416592
-2.68,0.0641638764051739,-0.990642178027299
-2.67,0.0647669686067855,-0.990454039770474
-2.66,0.0653753334255726,-0.990262137512483
-2.65,0.0659890094912188,-0.990066396699886
-2.64,0.0666080355750907,-0.989866741333068
-2.63,0.06723245058785,-0.989663093939423
-2.62,0.0678622935769945,-0.989455375546103
-2.61,0.0684976037243261,-0.989243505652303
-2.6,0.0691384203433468,-0.989027402201099
-2.59,0.0697847828765801,-0.98880698155082
-2.58,0.0704367308928171,-0.988582158445953
-2.57,0.0710943040842872,-0.988352845987577
-2.56,0.0717575422637513,-0.988118955603319
-2.55,0.0724264853615177,-0.987880397016832
-2.54,0.0731011734223782,-0.987637078216778
-2.53,0.0737816466024653,-0.987388905425328
-2.52,0.0744679451660281,-0.987135783066163
-2.51,0.0751601094821266,-0.986877613731968
-2.5,0.0758581800212435,-0.98661429815143
-2.49,0.0765621973518122,-0.986345735155724
-2.48,0.0772722021366599,-0.986071821644476
-2.47,0.0779882351293664,-0.985792452551222
-2.46,0.0787103371705352,-0.985507520808337
-2.45,0.0794385491839784,-0.985216917311436
-2.44,0.0801729121728123,-0.984920530883253
-2.43,0.0809134672154653,-0.984618248236983
-2.42,0.0816602554615947,-0.984309953939089
-2.41,0.0824133181279128,-0.983995530371568
-2.4,0.0831726964939224,-0.98367485769368
-2.39,0.0839384318975581,-0.983347813803132
-2.38,0.0847105657307358,-0.983014274296711
-2.37,0.0854891394348065,-0.982674112430374
-2.36,0.0862741944959167,-0.982327199078785
-2.35,0.0870657724402712,-0.981973402694304
-2.34,0.0878639148293013,-0.981612589265424
-2.33,0.0886686632547333,-0.981244622274646
-2.32,0.0894800593335614,-0.980869362655817
-2.31,0.0902981447029198,-0.980486668750897
-2.3,0.0911229610148562,-0.980096396266191
-2.29,0.0919545499310043,-0.979698398228015
-2.28,0.092792953117157,-0.979292524937816
-2.27,0.0936382122377357,-0.978878623926754
-2.26,0.0944903689501593,-0.978456539909717
-2.25,0.0953494648991095,-0.978026114738814
-2.24,0.0962155417106929,-0.977587187356314
-2.23,0.0970886409864989,-0.977139593747059
-2.22,0.097968804297554,-0.976683166890334
-2.21,0.0988560731781694,-0.976217736711226
-2.2,0.0997504891196852,-0.975743130031452
-2.19,0.100652093564107,-0.975259170519675
-2.18,0.101560927897637,-0.974765678641323
-2.17,0.102477033444097,-0.974262471607895
-2.16,0.10340045145825,-0.973749363325794
-2.15,0.104331223119001,-0.97322616434467
-2.14,0.10526938952251,-0.972692681805298
-2.13,0.106214991675176,-0.972148719386999
-2.12,0.107168070486528,-0.971594077254618
-2.11,0.108128666762004,-0.971028552005066
-2.1,0.109096821195613,-0.970451936613454
-2.09,0.110072574362503,-0.969864020378814
-2.08,0.111055966711408,-0.969264588869449
-2.07,0.11204703855699,-0.968653423867903
-2.06,0.113045830072079,-0.968030303315595
-2.05,0.114052381279791,-0.967395001257118
-2.04,0.11506673204555,-0.966747287784237
-2.03,0.116088922068995,-0.966086928979598
-2.02,0.117118990875781,-0.965413686860189
-2.01,0.11815697780927,-0.964727319320555
-2,0.119202922022118,-0.964027580075817
-1.99,0.120256862467751,-0.963314218604513
-1.98,0.121318837891737,-0.962586980091291
-1.97,0.122388886823049,-0.961845605369484
-1.96,0.123467047565224,-0.961089830863614
-1.95,0.124553358187416,-0.960319388531845
-1.94,0.125647856515346,-0.959534005808429
-1.93,0.126750580122141,-0.958733405546188
-1.92,0.127861566319081,-0.957917305959063
-1.91,0.128980852146236,-0.957085420564793
-1.9,0.130108474362998,-0.956237458127739
-1.89,0.131244469438523,-0.955373122601936
-1.88,0.132388873542065,-0.954492113074392
-1.87,0.133541722533212,-0.953594123708712
-1.86,0.134703051952028,-0.952678843689078
-1.85,0.135872897009094,-0.951745957164662
-1.84,0.13705129257546,-0.950795143194521
-1.83,0.138238273172494,-0.94982607569304
-1.82,0.13943387296165,-0.948838423375985
-1.81,0.140638125734134,-0.947831849707234
-1.8,0.141851064900488,-0.946806012846268
-1.79,0.143072723480081,-0.945760565596474
-1.78,0.144303134090519,-0.944695155354354
-1.77,0.145542328936965,-0.943609424059715
-1.76,0.146790339801382,-0.94250300814692
-1.75,0.148047198031689,-0.941375538497287
-1.74,0.149312934530844,-0.940226640392728
-1.73,0.150587579745844,-0.939055933470712
-1.72,0.151871163656659,-0.937863031680665
-1.71,0.153163715765086,-0.936647543241887
-1.7,0.154465265083535,-0.935409070603099
-1.69,0.155775840123747,-0.934147210403728
-1.68,0.157095468885453,-0.932861553437035
-1.67,0.158424178844956,-0.931551684615208
-1.66,0.159761996943669,-0.930217182936526
-1.65,0.161108949576585,-0.928857621454728
-1.64,0.162465062580696,-0.927472567250703
-1.63,0.163830361223359,-0.926061581406646
-1.62,0.165204870190615,-0.924624218982788
-1.61,0.16658861357546,-0.923160028996869
-1.6,0.167981614866076,-0.921668554406471
-1.59,0.169383896934019,-0.920149332094372
-1.58,0.170795482022374,-0.918601892857067
-1.57,0.172216391733878,-0.917025761396608
-1.56,0.173646647019005,-0.915420456315932
-1.55,0.17508626816404,-0.913785490117828
-1.54,0.176535274779117,-0.912120369207717
-1.53,0.177993685786247,-0.910424593900427
-1.52,0.179461519407327,-0.908697658431112
-1.51,0.180938793152142,-0.906939050970537
-1.5,0.182425523806356,-0.905148253644866
-1.49,0.183921727419504,-0.90332474256019
-1.48,0.185427419292982,-0.901467987831947
-1.47,0.186942613968046,-0.899577453619467
-1.46,0.188467325213819,-0.897652598165817
-1.45,0.190001566015313,-0.895692873843164
-1.44,0.191545348561468,-0.893697727203873
-1.43,0.193098684233216,-0.891666599037528
-1.42,0.194661583591578,-0.889598924434131
-1.41,0.196234056365779,-0.887494132853665
-1.4,0.197816111441418,-0.885351648202263
-1.39,0.199407756848668,-0.883170888915207
-1.38,0.201008999750529,-0.880951268046997
-1.37,0.20261984643113,-0.878692193368696
-1.36,0.204240302284092,-0.876393067472823
-1.35,0.205870371800947,-0.874053287886007
-1.34,0.207510058559636,-0.871672247189652
-1.33,0.209159365213063,-0.869249333148855
-1.32,0.210818293477747,-0.866783928849819
-1.31,0.212486844122539,-0.864275412846011
-1.3,0.214165016957441,-0.861723159313306
-1.29,0.215852810822515,-0.859126538214366
-1.28,0.217550223576888,-0.856484915472497
-1.27,0.219257252087872,-0.853797653155244
-1.26,0.220973892220188,-0.851064109667944
-1.25,0.222700138825309,-0.848283639957513
-1.24,0.224435985730927,-0.84545559572668
-1.23,0.226181425730546,-0.84257932565893
-1.22,0.227936450573216,-0.839654175654375
-1.21,0.229701050953398,-0.836679489076811
-1.2,0.231475216500982,-0.833654607012155
-1.19,0.233258935771457,-0.830578868538528
-1.18,0.235052196236235,-0.827451611008167
-1.17,0.236854984273145,-0.824272170341398
-1.16,0.23866728515709,-0.821039881332877
-1.15,0.240489083050889,-0.817754077970288
-1.14,0.242320360996295,-0.814414093765686
-1.13,0.244161100905203,-0.811019262099681
-1.12,0.246011283551052,-0.807568916578614
-1.11,0.24787088856043,-0.804062391404892
-1.1,0.249739894404882,-0.80049902176063
-1.09,0.251618278392936,-0.796878144204727
-1.08,0.253506016662338,-0.793199097083501
-1.07,0.255403084172524,-0.78946122095498
-1.06,0.257309454697314,-0.785663859026944
-1.05,0.259225100817846,-0.781806357608774
-1.04,0.261149993915751,-0.777888066577185
-1.03,0.26308410416658,-0.773908339855842
-1.02,0.265027400533481,-0.7698665359089
-1.01,0.266979850761143,-0.765762018248439
-1,0.268941421369995,-0.761594155955765
-0.99,0.270912077650693,-0.757362324216526
-0.98,0.272891783658871,-0.753065904869552
-0.97,0.274880502210177,-0.748704286969309
-0.96,0.27687819487561,-0.744276867361837
-0.95,0.278884821977137,-0.739783051274004
-0.94,0.280900342583616,-0.735222252915869
-0.93,0.282924714507027,-0.730593896095944
-0.92,0.28495789429901,-0.725897414849081
-0.91,0.286999837247718,-0.7211322540767
-0.9,0.289050497374996,-0.716297870199025
-0.89,0.29110982743388,-0.711393731818962
-0.88,0.293177778906432,-0.706419320397235
-0.87,0.295254302001909,-0.701374130938313
-0.86,0.297339345655268,-0.696257672686682
-0.85,0.299432857526027,-0.69106946983293
-0.84,0.301534783997461,-0.685809062229094
-0.83,0.303645070176166,-0.680476006112662
-0.82,0.305763659891969,-0.675069874838608
-0.81,0.307890495698212,-0.669590259618771
-0.8,0.310025518872388,-0.664036770267849
-0.79,0.31216866941716,-0.658409035955251
-0.78,0.314319886061746,-0.65270670596199
-0.77,0.316479106263684,-0.646929450441766
-0.76,0.318646266210975,-0.641076961185346
-0.75,0.320821300824607,-0.635148952387287
-0.74,0.323004143761477,-0.629145161414036
-0.73,0.325194727417687,-0.623065349572361
-0.72,0.32739298293224,-0.616909302877065
-0.71,0.329598840191131,-0.610676832816844
-0.7,0.331812227831834,-0.604367777117164
-0.69,0.33403307324818,-0.597982000498941
-0.68,0.336261302595647,-0.591519395431816
-0.67,0.338496840797048,-0.584979882880729
-0.66,0.340739611548615,-0.578363413044506
-0.649999999999999,0.342989537326501,-0.571669966085117
-0.64,0.345246539393681,-0.564899552846225
-0.63,0.347510537807256,-0.558052215559624
-0.62,0.349781451426173,-0.551128028538147
-0.61,0.35205919791935,-0.544127098853568
-0.6,0.354343693774205,-0.537049566998035
-0.59,0.356634854305598,-0.529895607527529
-0.58,0.358932593665183,-0.522665429685821
-0.57,0.361236824851158,-0.51535927800741
-0.56,0.363547459718434,-0.507977432897896
-0.55,0.365864408989199,-0.500520211190235
-0.54,0.368187582263898,-0.492987966675324
-0.53,0.370516888032605,-0.485381090605372
-0.52,0.372852233686805,-0.477700012168498
-0.51,0.375193525531571,-0.469945198933037
-0.5,0.377540668798145,-0.46211715726001
-0.49,0.37989356765691,-0.454216432682259
-0.48,0.382252125230751,-0.446243610248779
-0.47,0.384616243608818,-0.438199314832768
-0.46,0.386985823860665,-0.430084211401979
-0.45,0.389360766050778,-0.421899005250008
-0.44,0.391740969253486,-0.413644442187135
-0.43,0.394126331568239,-0.405321308689463
-0.42,0.396516750135274,-0.396930432005077
-0.41,0.39891212115163,-0.388472680216061
-0.399999999999999,0.401312339887548,-0.379948962255224
-0.39,0.403717300703212,-0.371360227876507
-0.38,0.406126897065857,-0.362707467578051
-0.37,0.40854102156722,-0.353991712477046
-0.36,0.410959565941335,-0.345214034135521
-0.35,0.41338242108267,-0.336375544336332
-0.34,0.415809477064593,-0.327477394808705
-0.33,0.418240623158164,-0.318520776902771
-0.32,0.420675747851251,-0.309506921212639
-0.31,0.423114738867954,-0.300437097147654
-0.3,0.425557483188341,-0.291312612451591
-0.29,0.428003867068481,-0.282134812669634
-0.28,0.430453776060771,-0.272905080563133
-0.27,0.432907095034546,-0.263624835472203
-0.26,0.435363708196971,-0.254295532626391
-0.25,0.437823499114202,-0.244918662403709
-0.24,0.440286350732807,-0.235495749538498
-0.23,0.442752145401445,-0.22602835227867
-0.22,0.445220764892785,-0.216518061493029
-0.21,0.447692090425675,-0.206966499729453
-0.2,0.450166002687522,-0.197375320224904
-0.19,0.452642381856911,-0.187746205868285
-0.18,0.45512110762642,-0.17808086811733
-0.17,0.457602059225649,-0.168381045870815
-0.16,0.460085115444434,-0.158648504297499
-0.149999999999999,0.462570154656251,-0.148885033623317
-0.14,0.465057054841786,-0.139092447878458
-0.13,0.467545693612681,-0.129272583606058
-0.12,0.470035948235428,-0.119427298534386
-0.11,0.472527695655406,-0.10955847021443
